Price,Qty_,Sub_Total,Discount,Tax,Final_Total,Non_Taxable,CGST_Rate,CGST_Amount,SGST_Rate,SGST_Amount,VAT_Rate,VAT_Amount,Service_Charge_Rate,Service_Charge_Amount,Payment_Type,Order_Type,Status,Covers,modification_delta,Severity_Label,expected_total,total_diff,Anomaly_Type,timestamp
795,2.0,1590.0,1590.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Pick Up,Success,0,-1670.0,2,,,Unusual Access,2025-02-19
795,1.0,795.0,516.8,0.0,278.2,278.2,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Duplication,2025-04-26
150,1.0,150.0,97.5,0.0,52.5,52.5,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Duplication,2025-04-12
1935,0.5,967.5,967.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,0,-3219.0,2,,,Unusual Access,2025-01-08
795,1.0,795.0,795.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Suspicious Content,2025-03-24
525,0.5,262.5,262.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-772.0,2,,,Unusual Access,2025-02-22
795,0.5,397.5,397.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,0,-3219.0,2,,,Modification,2025-02-07
150,2.0,300.0,229.0,0.0,71.0,71.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Suspicious Content,2025-04-12
795,1.0,795.0,795.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,0,-3219.0,2,,,Unusual Access,2025-01-20
765,1.0,765.0,765.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Missing Data,2025-04-04
795,1.0,795.0,607.0,0.0,188.0,188.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Duplication,2025-04-10
1935,1.0,1935.0,1935.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-5303.0,2,,,Modification,2025-04-08
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Complimentary,3,0.0,2,,,Suspicious Content,2025-02-19
365,3.0,1095.0,0.0,109.6,1204.6,0.0,2.5,27.4,2.5,27.4,10,0.0,5,54.8,CARD,Dine In,Success,11,0.0,2,,,Suspicious Content,2025-03-22
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,4,0.0,2,,,Suspicious Content,2025-02-13
85,12.0,1020.0,0.0,51.0,1071.0,0.0,2.5,25.5,2.5,25.5,10,0.0,5,0.0,Other [Paytm],Pick Up,Success,0,0.0,0,,,Suspicious Content,2025-03-28
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,7,0.0,2,,,Missing Data,2025-04-18
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,CARD,Dine In,Success,6,0.0,2,,,Missing Data,2025-03-15
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,5,0.0,2,,,Suspicious Content,2025-03-13
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Success,4,0.0,2,,,Unusual Access,2025-02-17
1000,2.0,2000.0,0.0,300.0,2300.0,0.0,2.5,0.0,2.5,0.0,10,200.0,5,100.0,CARD,Dine In,Success,0,0.0,2,,,Modification,2025-04-18
315,2.0,630.0,0.0,94.5,724.5,0.0,2.5,0.0,2.5,0.0,10,63.0,5,31.5,CARD,Dine In,Success,0,0.0,2,,,Duplication,2025-04-02
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,3,0.0,2,,,Missing Data,2025-04-07
125,5.0,625.0,0.0,0.0,625.0,625.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Complimentary,25,0.0,2,,,Modification,2025-03-18
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,5,0.0,2,,,Unusual Access,2025-04-09
295,2.0,590.0,0.0,59.1,649.1,0.0,2.5,14.8,2.5,14.8,10,0.0,5,29.5,Other [Paytm],Dine In,Success,5,0.0,2,,,Duplication,2025-01-26
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,2,0.0,2,,,Missing Data,2025-04-16
365,2.0,730.0,0.0,73.1,803.1,0.0,2.5,18.3,2.5,18.3,10,0.0,5,36.5,Cash,Dine In,Success,3,0.0,2,,,Suspicious Content,2025-01-07
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Success,12,0.0,2,,,Suspicious Content,2025-01-11
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,Cash,Dine In,Success,6,0.0,2,,,Suspicious Content,2025-04-03
525,2.0,1050.0,0.0,0.0,1050.0,1050.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Duplication,2025-03-21
950,2.0,1900.0,0.0,285.0,2185.0,0.0,2.5,0.0,2.5,0.0,10,190.0,5,95.0,Cash,Dine In,Success,3,0.0,2,,,Unusual Access,2025-04-26
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,3,0.0,2,,,Missing Data,2025-01-08
2250,1.0,2250.0,0.0,230.7,2480.7,0.0,2.5,59.1,2.5,59.1,10,0.0,5,112.5,CARD,Dine In,Success,0,0.0,2,,,Unusual Access,2025-01-22
795,1.0,795.0,0.0,39.8,834.8,0.0,2.5,19.9,2.5,19.9,10,0.0,5,0.0,Cash,Dine In,Success,5,-248.0,0,,,Missing Data,2025-01-01
725,1.0,725.0,0.0,72.5,797.5,0.0,2.5,18.1,2.5,18.1,10,0.0,5,36.3,Cash,Dine In,Success,4,0.0,2,,,Missing Data,2025-04-18
795,1.0,795.0,0.0,0.0,795.0,795.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Unusual Access,2025-01-08
675,1.0,675.0,0.0,67.6,742.6,0.0,2.5,16.9,2.5,16.9,10,0.0,5,33.8,Cash,Dine In,Success,10,0.0,2,,,Modification,2025-03-19
1150,1.0,1150.0,0.0,172.5,1322.5,0.0,2.5,0.0,2.5,0.0,10,115.0,5,57.5,CARD,Dine In,Success,0,0.0,2,,,Suspicious Content,2025-02-02
525,1.0,525.0,0.0,52.5,577.5,0.0,2.5,13.1,2.5,13.1,10,0.0,5,26.3,CARD,Dine In,Success,4,0.0,2,,,Duplication,2025-01-09
545,1.0,545.0,0.0,0.0,545.0,545.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Complimentary,4,0.0,2,,,Suspicious Content,2025-02-20
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Success,8,0.0,2,,,Unusual Access,2025-01-15
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,Other [Paytm],Dine In,Success,8,0.0,2,,,Suspicious Content,2025-03-04
645,6.0,3870.0,0.0,580.5,4450.5,0.0,2.5,0.0,2.5,0.0,10,387.0,5,193.5,CARD,Dine In,Success,0,0.0,2,,,Duplication,2025-01-02
365,2.0,730.0,0.0,36.6,766.6,0.0,2.5,18.3,2.5,18.3,10,0.0,5,0.0,Cash,Dine In,Success,0,-254.0,0,,,Unusual Access,2025-04-29
990,1.0,990.0,0.0,148.5,1138.5,0.0,2.5,0.0,2.5,0.0,10,99.0,5,49.5,Cash,Dine In,Success,0,0.0,2,,,Suspicious Content,2025-03-17
365,2.0,730.0,0.0,73.1,803.1,0.0,2.5,18.3,2.5,18.3,10,0.0,5,36.5,Cash,Dine In,Success,12,0.0,2,,,Suspicious Content,2025-03-09
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,Cash,Dine In,Success,15,0.0,2,,,Suspicious Content,2025-04-25
3600,1.0,3600.0,0.0,369.0,3969.0,0.0,2.5,94.5,2.5,94.5,10,0.0,5,180.0,Other [AMEX],Dine In,Success,0,0.0,2,,,Modification,2025-02-17
465,4.0,1860.0,0.0,279.0,2139.0,0.0,2.5,0.0,2.5,0.0,10,186.0,5,93.0,Other [AMEX],Dine In,Success,0,0.0,2,,,Unusual Access,2025-01-06
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,13,0.0,2,,,Suspicious Content,2025-04-26
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,10,0.0,2,,,Unusual Access,2025-03-25
2700,1.0,2700.0,0.0,270.0,2970.0,0.0,2.5,67.5,2.5,67.5,10,0.0,5,135.0,Other [Paytm],Dine In,Success,8,0.0,2,,,Suspicious Content,2025-01-25
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,9,0.0,2,,,Modification,2025-03-30
1175,2.0,2350.0,0.0,117.6,2467.6,0.0,2.5,58.8,2.5,58.8,10,0.0,5,0.0,Other [Paytm],Pick Up,Success,0,0.0,0,,,Suspicious Content,2025-04-03
795,2.0,1590.0,0.0,79.6,1669.6,0.0,2.5,39.8,2.5,39.8,10,0.0,5,0.0,Cash,Dine In,Success,12,0.0,0,,,Duplication,2025-03-04
465,2.0,930.0,0.0,139.5,1069.5,0.0,2.5,0.0,2.5,0.0,10,93.0,5,46.5,CARD,Dine In,Success,0,0.0,2,,,Duplication,2025-05-01
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,8,0.0,2,,,Missing Data,2025-04-03
295,2.0,590.0,0.0,59.1,649.1,0.0,2.5,14.8,2.5,14.8,10,0.0,5,29.5,CARD,Dine In,Success,10,0.0,2,,,Modification,2025-01-19
600,1.0,600.0,0.0,90.0,690.0,0.0,2.5,0.0,2.5,0.0,10,60.0,5,30.0,Cash,Dine In,Success,0,0.0,2,,,Missing Data,2025-01-05
795,1.0,795.0,0.0,81.6,876.6,0.0,2.5,20.9,2.5,20.9,10,0.0,5,39.8,Cash,Dine In,Success,0,0.0,2,,,Modification,2025-04-05
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,20,0.0,2,,,Unusual Access,2025-03-26
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Part Payment,Dine In,Success,10,0.0,2,,,Duplication,2025-04-20
525,3.0,1575.0,0.0,0.0,1575.0,1575.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Complimentary,22,0.0,2,,,Unusual Access,2025-01-24
295,2.0,590.0,0.0,59.1,649.1,0.0,2.5,14.8,2.5,14.8,10,0.0,5,29.5,CARD,Dine In,Success,8,0.0,2,,,Unusual Access,2025-02-24
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,Cash,Dine In,Success,3,0.0,2,,,Duplication,2025-01-18
425,2.0,850.0,0.0,127.5,977.5,0.0,2.5,0.0,2.5,0.0,10,85.0,5,42.5,Other [Paytm],Dine In,Success,0,0.0,2,,,Modification,2025-01-05
855,1.0,855.0,0.0,85.6,940.6,0.0,2.5,21.4,2.5,21.4,10,0.0,5,42.8,CARD,Dine In,Success,7,0.0,2,,,Missing Data,2025-01-27
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,14,0.0,2,,,Modification,2025-05-01
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,6,0.0,2,,,Unusual Access,2025-03-30
725,1.0,725.0,0.0,108.8,833.8,0.0,2.5,0.0,2.5,0.0,10,72.5,5,36.3,Cash,Dine In,Success,0,0.0,2,,,Duplication,2025-04-17
795,2.0,1590.0,0.0,79.6,1669.6,0.0,2.5,39.8,2.5,39.8,10,0.0,5,0.0,CARD,Dine In,Success,16,0.0,0,,,Unusual Access,2025-04-22
1450,1.0,1450.0,0.0,145.1,1595.1,0.0,2.5,36.3,2.5,36.3,10,0.0,5,72.5,Cash,Dine In,Success,2,0.0,2,,,Suspicious Content,2025-02-16
855,1.0,855.0,0.0,0.0,855.0,855.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Cancelled,0,0.0,2,,,Modification,2025-01-02
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Complimentary,6,0.0,2,,,Unusual Access,2025-01-20
645,2.0,1290.0,0.0,193.5,1483.5,0.0,2.5,0.0,2.5,0.0,10,129.0,5,64.5,CARD,Dine In,Success,0,0.0,2,,,Suspicious Content,2025-04-10
795,1.0,795.0,0.0,81.6,876.6,0.0,2.5,20.9,2.5,20.9,10,0.0,5,39.8,CARD,Dine In,Success,0,0.0,2,,,Suspicious Content,2025-01-25
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,Cash,Dine In,Success,2,0.0,2,,,Duplication,2025-01-18
525,1.0,525.0,0.0,52.5,577.5,0.0,2.5,13.1,2.5,13.1,10,0.0,5,26.3,Cash,Dine In,Success,8,0.0,2,,,Missing Data,2025-04-29
855,1.0,855.0,0.0,0.0,855.0,855.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Modification,2025-01-05
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,8,0.0,2,,,Suspicious Content,2025-02-16
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Success,2,0.0,2,,,Missing Data,2025-03-18
2250,1.0,2250.0,0.0,225.1,2475.1,0.0,2.5,56.3,2.5,56.3,10,0.0,5,112.5,CARD,Dine In,Success,15,0.0,2,,,Missing Data,2025-04-17
795,2.0,1590.0,0.0,159.1,1749.1,0.0,2.5,39.8,2.5,39.8,10,0.0,5,79.5,Cash,Dine In,Success,8,0.0,2,,,Modification,2025-01-07
795,1.0,795.0,0.0,39.8,834.8,0.0,2.5,19.9,2.5,19.9,10,0.0,5,0.0,Cash,Delivery(Parcel),Success,0,0.0,0,,,Duplication,2025-02-08
275,2.0,550.0,0.0,82.5,632.5,0.0,2.5,0.0,2.5,0.0,10,55.0,5,27.5,CARD,Dine In,Success,0,0.0,2,,,Missing Data,2025-03-26
855,1.0,855.0,0.0,85.6,940.6,0.0,2.5,21.4,2.5,21.4,10,0.0,5,42.8,CARD,Dine In,Success,3,0.0,2,,,Modification,2025-03-29
2250,1.0,2250.0,0.0,225.1,2475.1,0.0,2.5,56.3,2.5,56.3,10,0.0,5,112.5,Cash,Dine In,Success,2,0.0,2,,,Modification,2025-01-28
795,1.0,795.0,0.0,0.0,795.0,795.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Complimentary,6,0.0,2,,,Missing Data,2025-03-12
2025,1.0,2025.0,0.0,202.5,2227.5,0.0,2.5,50.6,2.5,50.6,10,0.0,5,101.3,Other [Paytm],Dine In,Success,6,0.0,2,,,Modification,2025-04-22
1500,2.0,3000.0,0.0,450.0,3450.0,0.0,2.5,0.0,2.5,0.0,10,300.0,5,150.0,Cash,Dine In,Success,0,0.0,2,,,Unusual Access,2025-02-17
365,2.0,730.0,0.0,73.1,803.1,0.0,2.5,18.3,2.5,18.3,10,0.0,5,36.5,CARD,Dine In,Success,6,0.0,2,,,Missing Data,2025-03-25
795,1.0,795.0,0.0,39.8,834.8,0.0,2.5,19.9,2.5,19.9,10,0.0,5,0.0,Other [Paytm],Pick Up,Success,0,0.0,0,,,Missing Data,2025-01-07
695,2.0,1390.0,0.0,208.5,1598.5,0.0,2.5,0.0,2.5,0.0,10,139.0,5,69.5,Part Payment,Dine In,Success,0,0.0,2,,,Duplication,2025-03-17
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,6,0.0,2,,,Modification,2025-04-28
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,CARD,Dine In,Success,2,0.0,2,,,Duplication,2025-02-28
525,1.0,525.0,0.0,52.5,577.5,0.0,2.5,13.1,2.5,13.1,10,0.0,5,26.3,Cash,Dine In,Complimentary,30,0.0,2,,,Missing Data,2025-02-23
1450,1.0,1450.0,0.0,145.1,1595.1,0.0,2.5,36.3,2.5,36.3,10,0.0,5,72.5,Other [Paytm],Dine In,Success,4,0.0,2,,,Modification,2025-03-25
675,1.0,675.0,0.0,33.8,708.8,0.0,2.5,16.9,2.5,16.9,10,0.0,5,0.0,CARD,Dine In,Success,6,-301.0,0,,,Modification,2025-04-19
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [AMEX],Dine In,Success,4,0.0,2,,,Missing Data,2025-04-01
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,CARD,Dine In,Success,5,0.0,2,,,Missing Data,2025-03-27
525,1.0,525.0,0.0,52.5,577.5,0.0,2.5,13.1,2.5,13.1,10,0.0,5,26.3,Cash,Dine In,Success,5,0.0,2,,,Unusual Access,2025-04-27
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,Cash,Dine In,Complimentary,45,0.0,2,,,Duplication,2025-04-15
795,1.0,795.0,0.0,81.6,876.6,0.0,2.5,20.9,2.5,20.9,10,0.0,5,39.8,Part Payment,Dine In,Success,0,0.0,2,,,Duplication,2025-03-19
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Success,5,0.0,2,,,Modification,2025-04-22
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [AMEX],Dine In,Success,3,0.0,2,,,Suspicious Content,2025-04-06
395,2.0,790.0,0.0,79.1,869.1,0.0,2.5,19.8,2.5,19.8,10,0.0,5,39.5,CARD,Dine In,Success,10,0.0,2,,,Missing Data,2025-03-12
525,1.0,525.0,0.0,0.0,525.0,525.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Duplication,2025-02-23
525,1.0,525.0,0.0,52.5,577.5,0.0,2.5,13.1,2.5,13.1,10,0.0,5,26.3,CARD,Dine In,Success,9,0.0,2,,,Modification,2025-03-31
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Success,3,0.0,2,,,Missing Data,2025-01-22
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,25,0.0,2,,,Unusual Access,2025-05-01
2000,1.0,2000.0,0.0,300.0,2300.0,0.0,2.5,0.0,2.5,0.0,10,200.0,5,100.0,CARD,Dine In,Success,0,0.0,2,,,Unusual Access,2025-01-05
725,1.0,725.0,0.0,108.8,833.8,0.0,2.5,0.0,2.5,0.0,10,72.5,5,36.3,Other [AMEX],Dine In,Success,0,0.0,2,,,Duplication,2025-03-29
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,4,0.0,2,,,Modification,2025-02-13
855,1.0,855.0,0.0,42.8,897.8,0.0,2.5,21.4,2.5,21.4,10,0.0,5,0.0,Cash,Dine In,Success,16,-1709.0,0,,,Duplication,2025-02-18
795,1.0,795.0,0.0,39.8,834.8,0.0,2.5,19.9,2.5,19.9,10,0.0,5,0.0,CARD,Dine In,Success,3,-261.0,0,,,Modification,2025-03-17
425,2.0,850.0,0.0,127.5,977.5,0.0,2.5,0.0,2.5,0.0,10,85.0,5,42.5,Cash,Dine In,Success,0,0.0,2,,,Missing Data,2025-01-22
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Part Payment,Dine In,Success,2,0.0,2,,,Suspicious Content,2025-02-23
525,1.0,525.0,0.0,52.5,577.5,0.0,2.5,13.1,2.5,13.1,10,0.0,5,26.3,CARD,Dine In,Success,6,0.0,2,,,Missing Data,2025-01-11
1175,1.0,1175.0,0.0,117.6,1292.6,0.0,2.5,29.4,2.5,29.4,10,0.0,5,58.8,Other [Paytm],Dine In,Success,6,0.0,2,,,Modification,2025-02-21
795,2.0,1590.0,0.0,159.1,1749.1,0.0,2.5,39.8,2.5,39.8,10,0.0,5,79.5,Part Payment,Dine In,Success,10,0.0,2,,,Missing Data,2025-02-15
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,CARD,Dine In,Success,10,0.0,2,,,Modification,2025-01-03
765,1.0,765.0,0.0,76.5,841.5,0.0,2.5,19.1,2.5,19.1,10,0.0,5,38.3,Cash,Dine In,Success,4,0.0,2,,,Suspicious Content,2025-04-15
375,2.0,750.0,0.0,112.5,862.5,0.0,2.5,0.0,2.5,0.0,10,75.0,5,37.5,Other [Paytm],Dine In,Success,2,0.0,2,,,Missing Data,2025-04-27
795,1.0,795.0,0.0,79.6,874.6,0.0,2.5,19.9,2.5,19.9,10,0.0,5,39.8,Cash,Dine In,Complimentary,1,0.0,2,,,Missing Data,2025-01-11
525,1.0,525.0,0.0,0.0,525.0,525.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Complimentary,1,0.0,2,,,Missing Data,2025-01-11
525,1.0,525.0,0.0,52.5,577.5,0.0,2.5,13.1,2.5,13.1,10,0.0,5,26.3,CARD,Dine In,Success,3,0.0,2,,,Suspicious Content,2025-01-25
795,1.0,795.0,0.0,81.6,876.6,0.0,2.5,20.9,2.5,20.9,10,0.0,5,39.8,Other [Paytm],Dine In,Success,0,0.0,2,,,Missing Data,2025-04-11
795,1.0,795.0,0.0,39.8,834.8,0.0,2.5,19.9,2.5,19.9,10,0.0,5,0.0,CARD,Dine In,Success,4,-341.0,0,,,Missing Data,2025-01-10
765,2.0,1530.0,0.0,153.1,1683.1,0.0,2.5,38.3,2.5,38.3,10,0.0,5,76.5,Other [Paytm],Dine In,Success,2,0.0,2,,,Unusual Access,2025-01-27
150,4.0,600.0,0.0,60.0,660.0,0.0,2.5,15.0,2.5,15.0,10,0.0,5,30.0,CARD,Dine In,Success,20,0.0,2,,,Suspicious Content,2025-04-16
855,1.0,855.0,0.0,85.6,940.6,0.0,2.5,21.4,2.5,21.4,10,0.0,5,42.8,Other [Paytm],Dine In,Success,7,0.0,2,,,Duplication,2025-03-05
465,2.0,930.0,0.0,139.5,1069.5,0.0,2.5,0.0,2.5,0.0,10,93.0,5,46.5,Other [AMEX],Dine In,Success,0,0.0,2,,,Missing Data,2025-04-14
795,1.0,795.0,0.0,39.8,834.8,0.0,2.5,19.9,2.5,19.9,10,0.0,5,0.0,Cash,Pick Up,Success,0,0.0,0,,,Modification,2025-03-30
795,2.0,1590.0,0.0,159.1,1749.1,0.0,2.5,39.8,2.5,39.8,10,0.0,5,79.5,CARD,Dine In,Success,10,0.0,2,,,Suspicious Content,2025-04-12
